朱砂,牙皂,全蝎,巴豆,丹参,当归
天竺黄,天南星,麦芽,朱砂,桔梗,陈皮
贝母,炒二丑,花粉,赤芍,珍珠,乳香
贝母,胆南星,杏仁,苏子,桔梗,元参
贝母,天竺黄,半夏,胆南星,菖蒲,胡连
贝母,天竺黄,天南星,半夏,朱砂,钩藤
天竺黄,半夏,竹茹,郁金,菖蒲,藿香
陈皮,僵蚕,梗,叶,香橼,活白凤仙梗
白芥子,乳没,姜黄,黑附子,淫羊藿,桂枝
半夏,莱菔,抚芎,陈皮,香附,山楂
半夏,天南星,莪术,芫花
贝母,百部,羊胆干膏,白及,甘草
贝母,百合,薏仁,麦冬,五味子,天冬
胆南星,远志,麦门冬,淡竹叶,当归,茯苓
竹茹,远志,玉竹,钩藤,女贞子,菖蒲
天南星,防风
半夏,三,寒水石,白矾
贝母,半夏,紫菀,百部,杏仁,葶苈
半夏,天南星,陈皮,僵蚕,牙皂,全蝎
半夏,天南星,远志,金箔,陈皮,僵蚕
