半夏,昆布,海藻,白芥子,陈皮,玄明粉,香附
贝母,郁金,丹参,荷叶蒂,杵头糠,砂仁壳,茯苓
蜈蚣,僵蚕,全虫,炙穿山甲,蝉衣,夜明砂
贝母,桔梗,陈皮,麦门冬,茯苓,地黄,甘草
百药煎,桔梗,香附,粉草,紫河车
半夏,天南星,陈皮,黄芩,黄连,甘草
半夏,天南星,陈皮,黄芩,白矾,黄连
半夏,天南星,天麻,川乌,干姜,川芎,甘草
半夏,天南星,天麻,川乌,干姜,川芎,甘草
天竺黄,党参,香附,60克,60克,60克,60克
天南星,黑附子,乌头,木香
天南星,白附子,辰砂,蛇含,麝香
半夏,黑附子,柴胡,当归,白芍,人参,茱萸
竹茹,苏子,桔梗,陈皮,甘草
文蛤,红芽大戟,续随子,山慈菇,麝香
远志,金箔,菖蒲,铁粉,人参,茯苓,丹砂
贝母,半夏,杏仁,桔梗,陈皮,苏梗,黄芩
半夏,柴胡,肉桂,白芍,茯苓,白术,枳壳
贝母,胆南星,远志,陈皮,辰砂,元参,麦冬
半夏,陈皮,茯苓,生姜,甘草
贝母,半夏,杏仁,苏子,黄芩,黄连,桑白皮
半夏,陈皮,僵蚕,辰砂,天麻,槐角子,白矾
天南星,朱砂,琥珀
胆南星,朱砂,陈皮,远志,五味子,琥珀,白芍
半夏,远志,玫瑰花,绿萼梅,芍药,佛手花,厚朴花
海藻,昆布,海带,陈皮,海蛤粉,木香,螵蛸
半夏,山药,肉豆蔻,厚朴
半夏,陈皮,吴萸,黄连,桃仁
半夏,陈皮,乌梅肉,人参,草果,茯苓,白术
半夏,紫苏,茯苓,厚朴
半夏,昆布,桔梗,粉葛,黄芩,天南星片,升麻
檀香,朱砂,苏合香,僵蚕,诃子,萎仁,建莲心
檀香,朱砂,苏合香,僵蚕,诃子,金礞石,天麻
杏仁,神僸,麦蘖,萝卜子,青皮,三棱,干漆
莱菔,白芥子,山楂
半夏,天南星,金箔,朱砂,全蝎,白附子,白僵蚕
银箔,金箔,远志,丹参,丹参,白僵蚕,白附子
半夏,诃子,丁香,干姜,草豆蔻,生姜
贝母,半夏,天南星,海藻,桔梗,陈皮,枳实
半夏,桔梗,陈皮,前胡,苏叶,人参,茯苓
天南星,蜈蚣,直僵蚕,麝香,猪牙皂角
半夏,麦芽,陈皮,薤白,苏梗,全瓜蒌,生姜
贝母,莱菔,杏仁,葶苈,陈皮,苏子,枣仁
杏仁,葶苈,防己,黑牵牛,麻黄
胆南星,海石,栝楼,香附,抚芎,青黛,苍术
莱菔,杏仁,大力子,僵蛹,薄荷,夏枯草,连翘
贝母,海藻,蜣螂虫,猫头骨牙爪1副,生明矾,蓖麻子肉,没药
半夏,天南星,白芥子,红芽大戟,僵蚕,制甘遂,藤黄
贝母,款冬花,杏仁,桔梗,薄荷,麦门冬,当归
文蛤,朱砂,红芽大戟,山茨菇,千金子,麝香,雄黄
半夏,天麻,老生姜,茯苓,白术,甘草
百部,远志,桔梗,五味子,菖蒲,麦门冬,丹参
天南星
蜈蚣,鸡血藤,地龙,当归,赤芍,川芎,白芷
半夏,竹茹,陈皮,茯苓,甘草,枳壳
